rank_setor,codigo_base,nome,valor_total,quantidade_total
18,929265183,BOLSA TERMICA TOKOSHI,437.43,7
18,943965295,SILICONE KITCHEN SET,197.94,6
18,906678866,POTE COM TAMPA,94.18,7
18,902896892,"TAP EASY BEGE 0,45X1,20",85.99,1
18,924580058,CESTO C/TAMPA 56L PRATA,150.35,5
18,907218972,CAR ANDANDOR ARANHA,110.99,1
18,916441673,MASCARA DE CILIOS PANDA,103.92,8
18,935697458,BOLA LISA PEROLADA,107.94,6
18,946968657,"TOALHA 70X1,40CM",107.94,6
19,907256461,POTE C/ TAMP ESCRREDOR,145.57,3
19,926840635,BOLSA,222.9,5
19,922961196,CHAVEIRO LABUBU MUSICA,109.22,5
19,907256461,POTE C/ TAMP ESCRREDOR,103.98,2
19,960850738,KIT DE PRESILHAS,80.91,9
19,921454222,KIT COLAR + PULS + BRINCO INF,160.45000000000002,15
19,123456789,BOLSA FEMININA,89.99,1
19,920132660,RELOGIO FEMININO QUARTZ,190.28,12
19,916914524,SUPER HAIR BONDE 30ML,210.42,18
19,943965295,SILICONE KITCHEN SET,433.87,13
19,8164417180,BABY COGUMELO DIDATICO,99.98,2
19,911935479,PALE SOMB FLORAL,90.93,7
20,909222943,POTE COM TAMPA,218,5
20,947859681,"ÁRVORE DE NATAL 2,10",142.48,2
20,965647586,LAÇO ENFEITE NATALINO,99.99,1
20,2281328,CAPA SOFA 2/3 LUG KING,156.77,3
20,940927059,"PANELA PRESSAO 4,5L",75.99,1
20,123456789,BOLSA FEMININA,89.99,1
20,814230712,BOLSA TERMICA GX-400097,106.37,3
20,908629692,BULE 10 POLIDO,95.96,4
20,907218978,MOTO BRINQUEDO,95.96,4
20,907206369,FORMA PARA GELO,397.88,53
20,2281328,CAPA SOFA 2/3 LUG KING,207.16,4
20,4698756,BOLSA PRETA,88.44,6
20,916168980,COLAR DOURADO,189.81,19
21,911935479,PALE SOMB FLORAL,181.86,14
21,906678881,TIGELA COM TAMPA,84.62,8
21,898549902,MOCH TERMICA TOKOSHI,395.93,7
21,914459692,SHINY LIP GLOSS,89.94,6
21,942826161,BOLA NATAL PRATA 15CM,99.94999999999999,5
21,935697497,GUIRLANDA PLACA BONECO,93.98,2
21,922209645,LABUBU SUPORTE BRACO,105.84,4
21,56892371,BOLSA DE TECIDO,99.94999999999999,5
21,947791421,CORDAO 40 LEDS BOLI,74.97,3
21,916069502,CREAMY BLUSH 5G,214.07999999999998,12
21,927638043,CILIOS TUFINHO NEW SH,195.89999999999998,10
21,935697488,ENF. DE MAD.TREM NATAL,132.56,4
21,8164417180,BABY COGUMELO DIDATICO,147.87,3
21,935697464,BOLA PERO VD 8CM 6 UN,74.97,3
22,916867806,CHAVEIRO STITCH CAPUZ,99.98,2
22,934572598,SACO DE PRES 88x120,89.85000000000001,15
22,935697452,BOLA LISA PEROLADA,71.96,4
22,2396001,LIXEIRA PEDAL 20LT,395.15,10
22,908629677,FORMA PIZZA 35 POLIDO,91.96,4
22,909222920,POTE ORG C/ TAMPA E ESC,99.9,10
22,943965295,SILICONE KITCHEN SET,131.96,4
22,914459785,LIP GLOSS BOBBI RARA,140.29,11
22,906678881,TIGELA COM TAMPA,197.44,16
22,916867806,CHAVEIRO STITCH CAPUZ,194.96,4
22,926769559,MINI FRASCO PORTAT 5ML,79.4,22
22,914970019,KIT DE PRESILHA INFAN,176.41,59
23,940927065,"PAN PRESSAO 2,5L PRETA",68.99,1
23,928486286,FERVEDOR TURIM 12CM,78.27,3
23,911982682,KIT DE FERRAMENTAS,89.97,3
23,908629692,BULE 10 POLIDO,95.96,4
23,909222920,POTE ORG C/ TAMPA E ESC,388.46,34
23,2396243,LAPIS DELINEADOR,87.89,11
23,910807588,PERFUME PURPL MID 30ML,87.98,2
23,910807583,PERF BLACK CLOUB 30ML,87.98,2
23,916069461,PALETA SOMBRA GLOW VIP,183.16000000000003,15
23,940927068,"PAN PRESSAO 4,5L PRETA",169.98,2
23,916136133,LIP GLOSS PHALLEHONEY,134.3,10
23,907206274,ELASTICO DE CABELO,129.73000000000002,27
23,921454255,ESPONJA P/MAQUIAGEM,194.70000000000002,80
24,907206263,ELASTICO DE CABELO,193.06,44
24,958551833,DS 1/4 DEC FUN - 180,371.11,34
24,2396001,LIXEIRA PEDAL 20LT,85.98,2
24,935697494,ENFEITE MUSICAL,163.98,2
24,953881565,FESTAO 9CM VDC/ESTRELA,180.68,28
24,941955511,BOLSA ALC BE YOURSELF G,129.95,5
24,946383440,TC VERSALHES 390ML,78.25,6
24,908629677,FORMA PIZZA 35 POLIDO,68.97,3
24,935697503,ENFEITE DE PENDURAR,89.94,6
24,911935640,KIT OCULOS E COLAR,83.56,4
24,907206299,ENFEITE CABELO SORVETE,94.81,19
24,943965316,MALETA M 20X32CM,115.97,3
25,934840827,CANECA 120ML,89.91,9
25,908629680,FORMA PAO 03 POLIDO,83.94,6
25,909222908,POTE COM TAMPA G,60.47,3
25,936675010,LED CASC 138 AZUL ESTR,76.99,1
25,927396117,NECESS TRANSP YIDA,367.34999999999997,15
25,920458343,TRIO DE GARRAFAS,113.98,2
25,14453222,300L BR FIO TRANS 18804,129.57,3
25,947859709,MOCHILA GX10,89.99,1
25,922961214,CAPIVARA SUPORTE BRACO,82.47,3
25,916069490,LIP GLO BOBBI RARA,179.26,14
25,953881592,BOLSA FEM VIAGEM,191.37,3
25,935697458,BOLA LISA PEROLADA,161.91,9
26,926828908,MOCHILA STITCH C/ BOLSO NA FRENTE,72.49,1
26,936238188,"7,99 MEIA",363.53000000000003,47
26,911982667,SUPER CAR POLICIA,59.98,2
26,940968542,ANTENA DIGITAL,86.97,3
26,907256449,CANECA 220ML,83.33,17
26,936238178,COPO VERSALHES  B OURO,76.89,6
26,184347,PISTA BRINQUE CARRINHO,85.41,9
26,927638014,CILIOS TUFINHO NEW SH,128.58,12
26,937723715,"CANETA POMPOM STITCH 0,5MM",174.13,17
26,907218986,SUPER CARROS SPIDERA,110.17,3
26,935697449,BOLA LISA PEROL VM 20,159.96,4
26,916914583,LUMINARIA EMERGENCIA,188.43,7
